Sample_ID,Ct_Undigested_DNA-AHRR,Ct_Digested_HpaII-AHRR,Ct_Digested_MspI-AHRR,ePCR-AHRR,%5mc-AHRR,Ct_Undigested_DNA-PRSS23,Ct_Digested_HpaII-PRSS23,Ct_Digested_MspI-PRSS23,ePCR-PRSS23,%5mc-PRSS23
S30,20.88,21.34,27.8,94.5,100,20.07,22.68,28.44,96.59,0.006421731
S31,20.95,21.3,26.28,94.5,100,21.64,21.01,26.55,96.59,100
S32,20.55,21.66,27.25,94.5,6.341562215,20.72,21.78,26.7,96.59,7.784493546
S33,19.44,19.86,34.54,91.31,100,17.12,19.91,24.94,99.5,0.002593921
S34,20.53,20.83,25.66,94.5,100,21.48,21.98,26.86,96.59,100
S35,20.37,21.01,26.6,94.5,54.05026682,21.36,21.48,26.79,96.59,100
S36,21.25,22.3,28.14,76.71,10.35140369,20.44,24.68,26.78,96.45,3.69458E-06
S37,20.93,20.44,25.93,76.71,100,19.93,21.53,25.32,96.45,0.657580688
S38,19.52,20.16,24.91,76.71,61.67295792,19.22,20.86,25.7,96.45,0.547517212
S39,20.37,21.6,26.27,91.31,3.825991812,19.6,21.39,26.03,94.65,0.284822239
S40,19.59,19.59,26.9,76.71,100,18.83,20.81,27.37,96.45,0.115401632
S41,19.94,20.11,27.49,76.71,100,19.36,20.54,27.4,96.45,4.500258126
S42,20.92,20.66,26.17,76.71,100,19.74,21.76,26.77,96.45,0.096086124
S43,20,20.8,25,91.31,26.77940968,19.84,21.32,25.13,94.65,1.171079121
S44,19.57,32.59,25.23,76.71,0,18.54,22.85,25.98,96.45,2.68133E-06
S45,20.52,20.09,25.12,76.71,100,24.55,19.82,26.51,96.45,NA
S46,19.8,20.54,26.65,76.71,39.90681681,19.3,20.63,26.96,96.45,2.264227956
S47,20.41,20.71,27.71,91.31,100,19.37,19.92,24.19,96.45,80.5693734
S48,19.55,20.27,26.69,76.71,43.53681211,18.81,20.71,26.73,96.45,0.166461766
S49,23.09,38.05,27.43,76.71,NA,18.29,20.6,25.6,94.65,0.02658384
S50,24.76,25.74,30.47,76.71,14.03888541,22.85,24.23,30.28,96.45,1.800864579
S51,22.04,21.32,28.62,95.08,100,19.25,20.5,25.25,94.65,3.343057004
S52,19.86,20.39,25.75,93.32,89.83798246,18.56,19.62,24.04,92.59,8.137608383
S53,21.74,20.84,26.54,91.31,100,20.56,21.79,26.03,94.65,3.662330059
S54,20.73,21.39,25.69,101.26,47.16221347,19.05,22.17,21.97,104.5,NA
S55,21.94,21.04,26.75,101.26,100,19.18,21.4,25.5,104.5,0.03223885
S56,20.96,20.42,25.21,101.26,NA,19.26,20.54,24.95,104.5,2.571797985
S57,21.88,22.46,26.86,95.08,70.80645691,18.1,28.96,29.43,96.91,0
S58,21.76,20.95,25.73,101.26,NA,17.98,21.72,23.68,104.5,2.71042E-05
S59,19.94,36.64,31.45,93.32,0,17.86,19.99,23.66,92.59,0.063282158
S60,20.94,21.08,23.11,95.08,NA,19.28,20.6,24.61,104.5,2.134552069
S61,22.5,23.4,30.45,95.08,16.42972541,19.15,21.23,27.54,92.59,0.079404067
S62,19.72,20.32,25.48,95.08,64.62792367,18.78,20.37,24.61,92.59,0.73408302
S63,19.96,36.72,25.58,93.32,0,21.02,20.4,24.38,92.59,NA
S64,20.05,21.47,26.07,91.31,1.619372551,20.12,21.37,26.01,94.65,3.343057004
S65,19.94,19.93,26.11,91.31,100,19.06,20.27,26.3,94.65,4.012094752
S66,20.63,20.35,25.73,91.31,100,19.45,20.57,25.59,94.65,6.048293097
S67,18.09,20.19,25.5,93.32,0.071339825,18.45,20.09,27.73,92.59,0.585037503
S68,18.63,20.49,25.79,93.32,0.21244032,17.65,18.42,23.88,92.59,30.34962474
